تاريخ الإيداع,المبلغ,Tyoe
20/10/2014,500,Contribution
25/12/2014,500,Contribution
20/1/2015,500,Contribution
27/1/2015,500,Contribution
16/2/2015,500,Contribution
23/3/2015,500,Contribution
18/4/2015,500,Contribution
20/5/2015,500,Contribution
18/6/2015,500,Contribution
14/7/2015,500,Contribution
16/8/2015,500,Contribution
11/9/2015,500,Contribution
14/10/2015,500,Contribution
18/11/2015,500,Contribution
10/1/2016,500,Contribution
13/2/2016,500,Contribution
27/2/2016,500,Contribution
9/4/2016,500,Contribution
4/5/2016,2500,Contribution
21/5/2016,2500,Contribution
9/7/2016,2500,Contribution
26/7/2016,2500,Contribution
28/8/2016,2500,Contribution
28/9/2016,2500,Contribution
25/10/2016,2500,Contribution
28/11/2016,2500,Contribution
23/1/2017,2500,Contribution
27/2/2017,2500,Contribution
28/3/2017,2500,Contribution
2/5/2017,2500,Contribution
28/5/2017,500,Contribution
29/9/2019,1000,Contribution
28/10/2019,2000,Contribution
24/11/2019,2000,Contribution
1/1/2020,2000,Contribution
29/1/2020,2000,Contribution
1/3/2020,2000,Contribution
29/3/2020,2000,Contribution
26/4/2020,2000,Contribution
26/5/2020,2000,Contribution
28/6/2020,2000,Contribution
28/7/2020,2000,Contribution
30/8/2020,2000,Contribution
28/9/2020,2000,Contribution
28/10/2020,2000,Contribution
29/11/2020,2000,Contribution
28/12/2020,2000,Contribution
28/1/2021,2000,Contribution
28/2/2021,2000,Contribution
28/3/2021,2000,Contribution
28/4/2021,1000,Contribution
30/5/2021,1000,Contribution
29/6/2021,1000,Contribution
29/7/2021,1000,Contribution
28/8/2021,1000,Contribution
28/9/2021,2500,Contribution
28/10/2021,2500,Contribution
30/11/2021,2500,Contribution
28/12/2021,2500,Contribution
24/1/2022,2500,Contribution
26/2/2022,2500,Contribution
28/3/2022,2500,Contribution
28/4/2022,2500,Contribution
28/5/2022,2500,Contribution
1/7/2022,2500,Contribution
1/8/2022,2500,Contribution
26/8/2022,2500,Contribution
25/9/2022,2500,Contribution
1/11/2022,2500,Contribution
28/11/2022,2500,Contribution
26/12/2022,2500,Contribution
31/1/2023,2500,Contribution
28/2/2023,2500,Contribution
27/3/2023,2500,Contribution
1/5/2023,2500,Contribution
29/5/2023,2500,Contribution
1/7/2023,2500,Contribution
1/8/2023,2500,Contribution
2/9/2023,2500,Contribution
1/10/2023,2500,Contribution
1/11/2023,2500,Contribution
30/11/2023,2500,Contribution
1/1/2024,2500,Contribution
1/2/2024,2500,Contribution
29/2/2024,2500,Contribution
1/4/2024,2500,Contribution
1/5/2024,2500,Contribution
30/5/2024,2500,Contribution
30/6/2024,2500,Contribution
2/8/2024,2500,Contribution
1/9/2024,2500,Contribution
1/10/2024,2500,Contribution
28/10/2024,2500,Contribution
1/12/2024,2500,Contribution
24/12/2024,2000,Contribution
30/1/2025,2000,Contribution
1/3/2025,2000,Contribution
27/3/2025,2000,Contribution
1/5/2025,2000,Contribution
1/6/2025,2000,Contribution
